RANK,TITLE,WORLDWIDE_LIFETIME_GROSS,DOMESTIC_LIFETIME_GROSS,DOMESTIC_PERCENTAGE,FOREIGN_LIFETIME_GROSS,FOREIGN_PERCENTAGE,YEAR,MPAA
534,Shutter Island,294805697,128012934,0.434,166792763,0.5660000000000001,2010,R
535,Doctor Dolittle,294456605,144156605,0.49,150300000,0.51,1998,PG-13
536,Bee Movie,293514336,126631277,0.431,166883059,0.569,2007,PG
537,Salt,293503354,118311368,0.40299999999999997,175191986,0.597,2010,PG-13
538,G-Force,292817898,119436770,0.408,173381128,0.5920000000000001,2009,PG
539,The Departed,291480452,132399394,0.45399999999999996,159081058,0.546,2006,R
540,What Lies Beneath,291420351,155464351,0.534,135956000,0.466,2000,PG-13
541,Pacific Rim: Uprising,290930148,59874525,0.20600000000000002,231055623,0.794,2018,PG-13
542,The Bourne Supremacy,290835269,176241941,0.606,114593328,0.39399999999999996,2004,PG-13
543,Sex and the City 2,290745055,95347692,0.32799999999999996,195397363,0.672,2010,R
544,Shakespeare in Love,289317794,100317794,0.34700000000000003,189000000,0.653,1998,R
545,Divergent,288885818,150947895,0.522,137937923,0.478,2014,PG-13
546,Coming to America,288752301,128152301,0.444,160600000,0.556,1988,
547,Wedding Crashers,288485135,209273411,0.725,79211724,0.275,2005,R
548,Bridesmaids,288383523,169106725,0.586,119276798,0.414,2011,R
549,Maze Runner: The Death Cure,288175335,58032443,0.201,230142892,0.799,2018,PG-13
550,Casper,287928194,100328194,0.348,187600000,0.652,1995,PG
551,American Pie 2,287553595,145103595,0.505,142450000,0.495,2001,R
552,Pitch Perfect 2,287144079,184296230,0.642,102847849,0.358,2015,PG-13
553,The Green Mile,286801374,136801374,0.47700000000000004,150000000,0.523,1999,R
554,Oblivion,286168572,89107235,0.311,197061337,0.6890000000000001,2013,PG-13
555,Elysium,286140700,93050117,0.325,193090583,0.675,2013,R
556,Lethal Weapon 4,285444603,130444603,0.457,155000000,0.5429999999999999,1998,R
557,John Carter,284139100,73078100,0.257,211061000,0.743,2012,PG-13
558,Turbo,282570682,83028128,0.294,199542554,0.706,2013,PG
559,Paddington,282377683,76271832,0.27,206105851,0.73,2014,PG
560,Bridget Jones's Diary,281995610,71543427,0.254,210452183,0.746,2001,R
561,The Tourist,278780441,67631157,0.243,211149284,0.757,2010,PG-13
562,Split,278454417,138291365,0.49700000000000005,140163052,0.503,2017,PG-13
563,Scary Movie,278019771,157019771,0.565,121000000,0.435,2000,R
564,xXx,277448382,142109382,0.512,135339000,0.488,2002,PG-13
565,The Bourne Legacy,276144750,113203870,0.41,162940880,0.59,2012,PG-13
566,Mr. Peabody & Sherman,275698039,111506430,0.40399999999999997,164191609,0.596,2014,PG
567,Scooby-Doo,275678613,153322074,0.556,122356539,0.444,2002,PG
568,Lincoln,275293450,182207973,0.662,93085477,0.33799999999999997,2012,PG-13
569,Lara Croft: Tomb Raider,274703340,131168070,0.478,143535270,0.522,2001,PG-13
570,Tomb Raider,274650803,58250803,0.212,216400000,0.7879999999999999,2018,PG-13
571,The Expendables,274470394,103068524,0.376,171401870,0.624,2010,R
572,Cloudy with a Chance of Meatballs 2,274325949,119793567,0.43700000000000006,154532382,0.563,2013,PG
573,The Nutty Professor,273961019,128814019,0.47,145147000,0.53,1996,PG-13
574,Jerry Maguire,273552592,153952592,0.563,119600000,0.43700000000000006,1996,R
575,Bad Boys II,273339556,138608444,0.507,134731112,0.493,2003,R
576,Lilo & Stitch,273144151,145794338,0.534,127349813,0.466,2002,PG
577,The Silence of the Lambs,272742922,130742922,0.479,142000000,0.521,1991,
578,Grown Ups,271457301,162001186,0.597,109456115,0.40299999999999997,2010,PG-13
579,Neighbors,270665134,150157400,0.555,120507734,0.445,2014,R
580,The Firm,270248367,158348367,0.586,111900000,0.414,1993,R
581,We're the Millers,269994119,150394119,0.557,119600000,0.44299999999999995,2012,R
582,Gran Torino,269958228,148095302,0.5489999999999999,121862926,0.451,2008,R
583,"10,000 BC",269784201,94784201,0.35100000000000003,175000000,0.649,2008,PG-13
584,American Gangster,269755430,130164645,0.48200000000000004,139590785,0.518,2007,R
585,Epic,268426634,107518682,0.401,160907952,0.599,2013,PG
586,Exodus: Gods and Kings,268175631,65014513,0.242,203161118,0.758,2014,PG-13
587,Bambi,267447150,102247150,0.382,165200000,0.618,1942,G
588,The Princess and the Frog,267045765,104400899,0.391,162644866,0.609,2009,
589,Batman Returns,266915287,162924631,0.61,103990656,0.39,1992,PG-13
590,Indecent Proposal,266614059,106614059,0.4,160000000,0.6,1993,R
591,Something's Gotta Give,265328738,124728738,0.47,140600000,0.53,2003,PG-13
592,Bridget Jones: The Edge of Reason,265126918,40226215,0.152,224900703,0.848,2004,R
593,The Incredible Hulk,264770996,134806913,0.509,129964083,0.491,2008,PG-13
594,Waterworld,264218220,88246220,0.33399999999999996,175972000,0.6659999999999999,1995,PG-13
595,The Truman Show,264118201,125618201,0.47600000000000003,138500000,0.524,1998,PG
596,Charlie's Angels,264105545,125305545,0.474,138800000,0.526,2000,PG-13
597,The Fifth Element,263920180,63820180,0.242,200100000,0.758,1997,PG-13
598,Parasite,263020130,53369749,0.203,209650381,0.797,2019,R
599,Jumanji,262821940,100499940,0.382,162322000,0.618,1995,PG
600,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,262552893,128505958,0.489,134046935,0.511,2006,R
601,Robots,262511490,128200012,0.488,134311478,0.512,2005,PG
602,Knight and Day,261989769,76423035,0.292,185566734,0.708,2008,PG-13
603,Total Recall,261317921,119412921,0.457,141905000,0.5429999999999999,1990,
604,This Is It,261183588,72091016,0.276,189092572,0.7240000000000001,2009,PG
605,Terminator: Dark Fate,261119292,62253077,0.23800000000000002,198866215,0.762,2019,R
606,The Lone Ranger,260502115,89302115,0.34299999999999997,171200000,0.657,2013,PG-13
607,Super 8,260095986,127004179,0.488,133091807,0.512,2011,PG-13
608,Mojin: The Lost Legend,259368448,1243810,0.005,258124638,0.995,2015,
609,Blade Runner 2049,259352064,92071675,0.355,167280389,0.645,2017,R
610,Charlie's Angels: Full Throttle,259175788,100830111,0.389,158345677,0.611,2003,PG-13
611,Rush Hour 3,258097122,140125968,0.5429999999999999,117971154,0.457,2007,PG-13
612,The Full Monty,257938649,45950122,0.17800000000000002,211988527,0.8220000000000001,1997,R
613,Kung Fu Yoga,257753889,362657,0.001,257391232,0.9990000000000001,2017,
614,Annabelle,257589721,84284252,0.327,173305469,0.6729999999999999,2014,R
615,The Village,256697520,114197520,0.445,142500000,0.555,2003,PG-13
616,Lost in Hong Kong,256283912,1302281,0.005,254981631,0.995,2015,
617,Erin Brockovich,256271286,125595205,0.49,130676081,0.51,2000,R
618,Pegasus,255863112,,,255863112,1.0,2019,
619,Get Out,255745157,176196665,0.6890000000000001,79548492,0.311,2016,R
620,Marley & Me,255743093,143153751,0.56,112589342,0.44,2008,PG
621,Halloween,255614941,159342015,0.623,96272926,0.377,2018,R
622,Us,255185482,175084580,0.6859999999999999,80100902,0.314,2019,R
623,Cliffhanger,255000211,84049211,0.33,170951000,0.67,1993,R
624,Baahubali 2: The Conclusion,254158390,20186659,0.079,233971731,0.9209999999999999,2017,
625,Babe,254134910,63658910,0.25,190476000,0.75,1995,
626,Men in Black: International,253890701,80001807,0.315,173888894,0.685,2019,PG-13
627,Wild Hogs,253625427,168273550,0.664,85351877,0.336,2007,PG-13
628,High School Musical 3: Senior Year,252909177,90559416,0.358,162349761,0.642,2008,G
629,Hercules,252712101,99112101,0.392,153600000,0.608,1997,
630,X-Men: Dark Phoenix,252442974,65845974,0.261,186597000,0.7390000000000001,2019,PG-13
631,True Grit,252276927,171243005,0.679,81033922,0.321,2010,PG-13
632,Encanto,251664150,95934164,0.381,155729986,0.619,2021,PG
633,Bean,251212670,45319423,0.18,205893247,0.82,1997,PG-13
634,American Hustle,251171807,150117807,0.598,101054000,0.402,2013,R
635,Enemy of the State,250849789,111549836,0.445,139299953,0.555,1998,R
636,You've Got Mail,250821495,115821495,0.462,135000000,0.5379999999999999,1998,PG
637,Eragon,250425512,75030163,0.3,175395349,0.7,2006,PG
638,Brother Bear,250397798,85336277,0.341,165061521,0.659,2003,
639,The Mask of Zorro,250288523,94095523,0.376,156193000,0.624,1998,PG-13
640,The Godfather,250285894,136326869,0.545,113959025,0.455,1972,
641,The Ring,249348933,129128133,0.518,120220800,0.48200000000000004,2002,PG-13
642,The Blair Witch Project,248639099,140539099,0.565,108100000,0.435,1999,R
643,Unbreakable,248118121,95011339,0.38299999999999995,153106782,0.617,2000,PG-13
644,Journey to the West: The Demons Strike Back,247585244,880346,0.004,246704898,0.996,2017,PG-13
645,Dumb and Dumber,247290327,127190327,0.514,120100000,0.486,1994,
646,Glass,246999039,111048468,0.45,135950571,0.55,2019,PG-13
647,Grown Ups 2,246984278,133668525,0.541,113315753,0.45899999999999996,2013,PG-13
648,The Peanuts Movie,246233113,130178411,0.529,116054702,0.47100000000000003,2015,G
649,Rango,245724603,123477607,0.502,122246996,0.498,2011,PG
650,Four Weddings and a Funeral,245700832,52700832,0.214,193000000,0.7859999999999999,1994,R
651,Face/Off,245676146,112276146,0.457,133400000,0.5429999999999999,1997,R
652,Teenage Mutant Ninja Turtles: Out of the Shadows,245623848,82051601,0.33399999999999996,163572247,0.6659999999999999,2016,PG-13
653,Dark Shadows,245527149,79727149,0.325,165800000,0.675,2012,PG-13
654,Dolittle,245438444,77047065,0.314,168391379,0.6859999999999999,2020,PG
655,Hulk,245285165,132177234,0.539,113107931,0.461,2003,PG-13
656,Love Actually,245203167,59696144,0.244,185507023,0.7559999999999999,2003,R
657,The Bravest,245179562,290217,0.001,244889345,0.9990000000000001,2019,PG-13
658,Welcome to the Sticks,245144417,,,245144417,1.0,2008,
659,Back to the Future Part III,245077583,88277583,0.36,156800000,0.64,1990,
660,Pixels,244874809,78747585,0.322,166127224,0.6779999999999999,2015,PG-13
661,Hercules,244819862,72688614,0.297,172131248,0.703,2014,
662,Rush Hour,244721064,141186864,0.5770000000000001,103534200,0.423,1998,PG-13
663,Journey to the Center of the Earth,244232688,101704370,0.41600000000000004,142528318,0.584,2008,PG
664,After Earth,243611982,60522097,0.248,183089885,0.752,2013,PG-13
665,A Few Good Men,243240178,141340178,0.581,101900000,0.419,1992,R
666,Cloudy with a Chance of Meatballs,243006126,124870275,0.514,118135851,0.486,2009,PG
667,8 Mile,242875078,116750901,0.48100000000000004,126124177,0.519,2002,R
668,Daddy's Home,242786137,150357137,0.619,92429000,0.381,2015,PG-13
669,RoboCop,242688965,58607007,0.242,184081958,0.758,2014,PG-13
670,Eraser,242295562,101295562,0.418,141000000,0.5820000000000001,1996,R
671,Alien: Covenant,240891763,74262031,0.308,166629732,0.6920000000000001,2017,R
672,Sully,240797623,125070033,0.519,115727590,0.48100000000000004,2016,PG-13
673,Assassin's Creed,240697856,54647948,0.22699999999999998,186049908,0.773,2016,PG-13
674,Click,240685326,137355633,0.5710000000000001,103329693,0.429,2006,PG-13
675,Legend of Deification,240663149,214670,0.001,240448479,0.9990000000000001,2020,
676,Resident Evil: Retribution,240159255,42345531,0.17600000000000002,197813724,0.8240000000000001,2012,R
677,Die Hard 2,240031274,117540947,0.49,122490327,0.51,1990,
678,Crocodile Dundee II,239606210,109306210,0.456,130300000,0.544,1988,
679,Planes,239258712,90288712,0.377,148970000,0.623,2013,PG
680,Crazy Rich Asians,238843729,174837452,0.732,64006277,0.268,2018,PG-13
681,Batman & Robin,238235719,107353792,0.451,130881927,0.5489999999999999,1997,PG-13
682,Downton Abbey,237860050,96854135,0.40700000000000003,141005915,0.593,2019,PG
683,Gulliver's Travels,237382724,42779261,0.18,194603463,0.82,2010,PG
684,Gone in 60 Seconds,237202299,101648571,0.428,135553728,0.5720000000000001,2000,PG-13
685,Saturday Night Fever,237113184,94213184,0.397,142900000,0.603,1977,R
686,Silver Linings Playbook,236412453,132092958,0.5589999999999999,104319495,0.441,2012,R
687,2 Fast 2 Furious,236350661,127154901,0.5379999999999999,109195760,0.462,2003,PG-13
688,Howl's Moving Castle,236269142,5576743,0.024,230692399,0.976,2004,PG
689,Hidden Figures,235956898,169607287,0.7190000000000001,66349611,0.281,2016,PG
690,A.I. Artificial Intelligence,235926552,78616689,0.33299999999999996,157309863,0.667,2001,PG-13
691,Dead Poets Society,235860116,95860116,0.406,140000000,0.594,1989,
692,Spy,235666219,110825712,0.47,124840507,0.53,2015,R
693,American Pie,235483004,102561004,0.436,132922000,0.564,1999,R
694,American Reunion,234989584,57011521,0.243,177978063,0.757,2012,R
695,Big Daddy,234801895,163479795,0.696,71322100,0.304,1999,PG-13
696,Alvin and the Chipmunks: The Road Chip,234798636,85886987,0.366,148911649,0.634,2015,PG
697,The Imitation Game,233555708,91125683,0.39,142430025,0.61,2014,PG-13
698,Cruella,233503234,86103234,0.369,147400000,0.631,2021,PG-13
699,The Day the Earth Stood Still,233093859,79366978,0.34,153726881,0.66,2008,PG-13
700,American Wedding,232722935,104565114,0.449,128157821,0.551,2003,R
701,The Girl with the Dragon Tattoo,232617430,102515793,0.441,130101637,0.5589999999999999,2011,R
702,Juno,232372681,143495265,0.618,88877416,0.382,2007,PG-13
703,Argo,232325503,136025503,0.586,96300000,0.414,2012,R
704,Mr. Bean's Holiday,232225908,33302167,0.14300000000000002,198923741,0.857,2007,G
705,The English Patient,231976425,78676425,0.33899999999999997,153300000,0.6609999999999999,1996,R
706,Sister Act,231605150,139605150,0.603,92000000,0.397,1992,PG
707,Annabelle Comes Home,231252591,74152591,0.321,157100000,0.679,2019,R
708,Constantine,230884728,75976178,0.32899999999999996,154908550,0.6709999999999999,2005,R
709,Get Smart,230685453,130319208,0.565,100366245,0.435,2008,PG-13
710,Space Jam,230594962,90594962,0.39299999999999996,140000000,0.607,1996,PG
711,Life Is Beautiful,230098753,57563264,0.25,172535489,0.75,1998,PG-13
712,The Heat,229930771,159582188,0.6940000000000001,70348583,0.306,1996,R
713,Ghostbusters,229147509,128350574,0.56,100796935,0.44,2016,
714,Ghost Rider,228738393,115802596,0.506,112935797,0.494,2007,PG-13
715,Goodbye Mr. Loser,228122928,1293626,0.006,226829302,0.9940000000000001,2015,
716,Paddington 2,227994792,40907738,0.179,187087054,0.821,2017,PG
717,Sleepless in Seattle,227927165,126808165,0.556,101119000,0.444,1993,PG
718,Lethal Weapon 2,227853986,147253986,0.6459999999999999,80600000,0.354,1989,R
719,The Green Hornet,227817248,98780042,0.434,129037206,0.5660000000000001,2011,PG-13
720,Out of Africa,227514205,87071205,0.38299999999999995,140443000,0.617,1985,
721,Youth,227091290,1891956,0.008,225199334,0.992,2017,
722,Baby Driver,226945087,107825862,0.475,119119225,0.525,2017,R
723,Immortals,226904017,83504017,0.368,143400000,0.632,2011,R
724,Taken,226837760,145000989,0.639,81836771,0.361,2008,PG-13
725,Percy Jackson & the Olympians: The Lightning Thief,226497209,88768303,0.392,137728906,0.608,2010,PG
726,Hansel & Gretel: Witch Hunters,226349749,55703475,0.24600000000000002,170646274,0.754,2013,R
727,Valerian and the City of a Thousand Planets,225973340,41189488,0.182,184783852,0.818,2017,PG-13
728,Good Will Hunting,225933435,138433435,0.613,87500000,0.387,1997,R
729,Better Days,225918798,1921657,0.008,223997141,0.992,2019,
730,Ford v Ferrari,225508210,117624357,0.522,107883853,0.478,2019,PG-13
731,Jumper,225132113,80172128,0.35600000000000004,144959985,0.644,2008,PG-13
732,Elf,225097437,177874109,0.79,47223328,0.21,2003,PG
733,The Social Network,224920375,96962694,0.431,127957681,0.569,2010,PG-13
734,Chicken Run,224834564,106834564,0.475,118000000,0.525,2000,
735,Con Air,224012234,101117573,0.451,122894661,0.5489999999999999,1997,R
736,Interview with the Vampire: The Vampire Chronicles,223664608,105264608,0.47100000000000003,118400000,0.529,1994,R
737,Flightplan,223387299,89707299,0.402,133680000,0.598,2005,PG-13
738,Yes Man,223241637,97690976,0.43799999999999994,125550661,0.562,2008,PG-13
739,Non-Stop,222809600,92168600,0.414,130641000,0.586,2014,PG-13
740,"Honey, I Shrunk the Kids",222724172,130724172,0.5870000000000001,92000000,0.413,1989,
741,Fahrenheit 9/11,222446882,119194771,0.536,103252111,0.46399999999999997,2004,R
742,Wild Wild West,222104681,113804681,0.512,108300000,0.488,1999,PG-13
743,"My Country, My Parents",221701823,166807,0.001,221535016,0.9990000000000001,2021,
744,Geostorm,221600160,33700160,0.152,187900000,0.848,2017,PG-13
745,Presumed Innocent,221303188,86303188,0.39,135000000,0.61,1990,
746,Jungle Cruise,220889446,116987516,0.53,103901930,0.47,2021,PG-13
747,Scary Movie 3,220673217,110003217,0.498,110670000,0.502,2003,PG-13
748,Collateral,220239925,101005703,0.45899999999999996,119234222,0.541,2004,R
749,Inferno,220021259,34343574,0.156,185677685,0.8440000000000001,2016,PG-13
750,Knocked Up,219922417,148768917,0.6759999999999999,71153500,0.324,2007,R
751,Green Lantern,219851172,116601172,0.53,103250000,0.47,2011,PG-13
752,What Happens in Vegas,219375562,80277646,0.366,139097916,0.634,2008,PG-13
753,It's Complicated,219103655,112735375,0.514,106368280,0.486,2009,R
754,The Terminal,219100084,77872883,0.355,141227201,0.645,2004,PG-13
755,Captain Phillips,218791811,107100855,0.49,111690956,0.51,2013,PG-13
756,The Prince of Egypt,218613188,101413188,0.46399999999999997,117200000,0.536,1998,PG
757,Jack Reacher,218340595,80070736,0.36700000000000005,138269859,0.633,2012,PG-13
758,Kingdom of Heaven,218122627,47398413,0.217,170724214,0.7829999999999999,2005,R
759,The Emoji Movie,217776646,86089513,0.395,131687133,0.605,2017,PG
760,Too Cool to Kill,217255728,185882,0.001,217069846,0.9990000000000001,2022,
761,Dracula Untold,217124280,56280355,0.259,160843925,0.741,2014,PG-13
762,Central Intelligence,216972543,127440871,0.5870000000000001,89531672,0.413,2016,PG-13
763,Million Dollar Baby,216763646,100492203,0.46399999999999997,116271443,0.536,2004,PG-13
764,The Help,216639112,169708112,0.7829999999999999,46931000,0.217,2011,PG-13
765,Twins,216614388,111938388,0.517,104676000,0.483,1988,
766,Little Women,216601214,108101214,0.499,108500000,0.501,2019,PG
767,Valentine's Day,216528528,110528528,0.51,106000000,0.49,2010,PG-13
768,Bad Teacher,216197492,100292856,0.46399999999999997,115904636,0.536,2011,R
769,A Little Red Flower,216000000,,,216000000,1.0,2020,
770,The Croods 2: A New Age,215905815,58568815,0.271,157337000,0.7290000000000001,2020,PG
771,Clear and Present Danger,215887717,122187717,0.5660000000000001,93700000,0.434,1994,PG-13
772,One Hundred and One Dalmatians,215880014,144880014,0.6709999999999999,71000000,0.32899999999999996,1961,
773,Ted 2,215863606,81476385,0.377,134387221,0.623,2015,R
774,Bram Stoker's Dracula,215862692,82522790,0.382,133339902,0.618,1992,R
775,Vertical Limit,215663859,69243859,0.321,146420000,0.679,2000,PG-13
776,Ghostbusters II,215394738,112494738,0.522,102900000,0.478,1989,
777,The Patriot,215294342,113330342,0.526,101964000,0.474,2000,R
778,The Sorcerer's Apprentice,215283742,63150991,0.293,152132751,0.7070000000000001,2010,PG
779,Just Go with It,214945591,103028109,0.479,111917482,0.521,2011,PG-13
780,The Expendables 3,214657577,39322544,0.183,175335033,0.8170000000000001,2014,PG-13
781,Dirty Dancing,214577242,64577242,0.301,150000000,0.6990000000000001,1987,
782,Creed II,214215889,115715889,0.54,98500000,0.46,2018,PG-13
783,Smallfoot,214115531,83315531,0.389,130800000,0.611,2018,PG
784,Public Enemies,214104620,97104620,0.45399999999999996,117000000,0.546,2009,R
785,The Bourne Identity,214034224,121661683,0.568,92372541,0.43200000000000005,2002,PG-13
786,Disclosure,214015089,83015089,0.38799999999999996,131000000,0.612,1994,R
787,Pulp Fiction,213928762,107928762,0.504,106000000,0.496,1994,R
788,The Aviator,213719942,102610330,0.48,111109612,0.52,2004,PG-13
789,"Crouching Tiger, Hidden Dragon",213525736,128078872,0.6,85446864,0.4,2000,PG-13
790,Braveheart,213216216,75609945,0.355,137606271,0.645,1995,R
791,Into the Woods,212902372,128002372,0.601,84900000,0.39899999999999997,2014,PG
792,Bedtime Stories,212874864,110101975,0.517,102772889,0.483,2008,PG
793,Miss Congeniality,212742720,106807667,0.502,105935053,0.498,2000,PG-13
794,Entrapment,212404396,87704396,0.413,124700000,0.5870000000000001,1999,PG-13
795,Ace Ventura: When Nature Calls,212385533,108385533,0.51,104000000,0.49,1995,PG-13
796,End of Days,211989043,66889043,0.316,145100000,0.684,1999,R
797,Bridget Jones's Baby,211952420,24252420,0.114,187700000,0.8859999999999999,2016,R
798,Fury,211822697,85817906,0.405,126004791,0.595,2014,R
799,Battle Los Angeles,211819354,83552429,0.39399999999999996,128266925,0.606,2011,PG-13
800,Australia,211787511,49554002,0.23399999999999999,162233509,0.7659999999999999,2008,PG-13
801,Due Date,211780824,100539043,0.475,111241781,0.525,2010,R
802,Master and Commander: The Far Side of the World,211622535,93927920,0.444,117694615,0.556,2003,PG-13
803,A Series of Unfortunate Events,211468235,118634549,0.561,92833686,0.439,2004,PG
804,The Little Mermaid,211343479,111543479,0.528,99800000,0.47200000000000003,1989,
805,District 9,210888950,115646235,0.5479999999999999,95242715,0.452,2009,R
806,Moonraker,210308099,70308099,0.33399999999999996,140000000,0.6659999999999999,1979,
807,The Others,209947037,96522687,0.46,113424350,0.54,2001,PG-13
808,Horrible Bosses,209838559,117538559,0.56,92300000,0.44,2011,R
809,Us and Them,209221380,,,209221380,1.0,2018,
810,Red Dragon,209196298,93149898,0.445,116046400,0.555,2002,R
811,Tomorrowland,209035668,93436322,0.447,115599346,0.5529999999999999,2015,PG
812,Me Before You,208314186,56245075,0.27,152069111,0.73,2016,PG-13
813,Safe House,208076205,126373434,0.607,81702771,0.39299999999999996,2012,R
814,S.W.A.T.,207725639,116934650,0.563,90790989,0.43700000000000006,2003,PG-13
815,The Fast and the Furious,207517509,144745925,0.698,62771584,0.302,2001,PG-13
816,Traffic,207515725,124115725,0.598,83400000,0.402,2000,R
817,Paranormal Activity 3,207039844,104028807,0.502,103011037,0.498,2011,R
818,Philadelphia,206678440,77446440,0.375,129232000,0.625,1993,PG-13
819,Sleepy Hollow,206071502,101071502,0.49,105000000,0.51,1999,R
820,The Holiday,205850134,63224849,0.307,142625285,0.693,2006,PG-13
821,Raging Fire,205846481,385305,0.002,205461176,0.998,2021,
822,The Jungle Book,205843612,141843612,0.6890000000000001,64000000,0.311,1967,PG
823,London Has Fallen,205754447,62524260,0.304,143230187,0.696,2016,R
824,The Break-Up,205668210,118703275,0.5770000000000001,86964935,0.423,2006,PG-13
825,Journey to the West,205637183,18058,0.001,205619125,1.0,2013,PG-13
826,JFK,205405498,70405498,0.34299999999999997,135000000,0.657,1991,R
827,White House Down,205366737,73103784,0.35600000000000004,132262953,0.644,2013,PG-13
828,A Dog's Purpose,205035819,64508620,0.315,140527199,0.685,2017,PG
829,Ponyo,204826668,15743471,0.077,189083197,0.9229999999999999,2008,
830,Fun with Dick and Jane,204681899,110332737,0.539,94349162,0.461,2005,PG-13
831,Eat Pray Love,204594016,80574010,0.39399999999999996,124020006,0.606,2010,PG-13
832,You Don't Mess with the Zohan,204313400,100018837,0.49,104294563,0.51,2008,PG-13
833,The Addams Family,203783845,100723831,0.494,103060014,0.506,2019,PG
834,Hairspray,203627753,118946291,0.584,84681462,0.41600000000000004,2007,PG
835,King Arthur,203567857,51882244,0.255,151685613,0.745,2004,PG-13
836,Yogi Bear,203509374,100246011,0.493,103263363,0.507,2010,PG
837,Everest,203427584,43482270,0.214,159945314,0.7859999999999999,2015,PG-13
838,Vanilla Sky,203388341,100618344,0.495,102769997,0.505,2001,R
839,Arrival,203388186,100546139,0.494,102842047,0.506,2016,PG-13
840,Need for Speed,203277636,43577636,0.214,159700000,0.7859999999999999,2014,PG-13
841,Garfield,203172417,75369589,0.371,127802828,0.629,2004,PG
842,Patch Adams,202292902,135026902,0.6679999999999999,67266000,0.332,1998,PG-13
843,Teenage Mutant Ninja Turtles,202084756,135384756,0.67,66700000,0.33,1990,PG-13
844,The Conjuring: The Devil Made Me Do It,202031050,65631050,0.325,136400000,0.675,2021,R
845,Kindergarten Cop,201957688,91457688,0.45299999999999996,110500000,0.547,1990,
846,Birds of Prey,201872791,84172791,0.41700000000000004,117700000,0.583,2020,R
847,Straight Outta Compton,201634991,161197785,0.8,40437206,0.2,2015,R
848,21 Jump Street,201585328,138447667,0.687,63137661,0.313,2012,R
849,Valkyrie,201545517,83077833,0.41200000000000003,118467684,0.588,2008,PG-13
850,Open Season,200811689,85105259,0.424,115706430,0.5760000000000001,2006,PG
851,Cats & Dogs,200687492,93385515,0.465,107301977,0.535,2001,PG
852,The Hunt for Red October,200512643,122012643,0.608,78500000,0.392,1990,
853,Percy Jackson: Sea of Monsters,199850315,68559554,0.34299999999999997,131290761,0.657,2013,PG
854,Two Weeks Notice,199043471,93354851,0.469,105688620,0.531,2002,PG-13
855,RED,199006387,90380162,0.45399999999999996,108626225,0.546,2010,PG-13
856,Shock Wave 2,198921659,,,198921659,1.0,2020,
857,City of Angels,198685114,78685114,0.396,120000000,0.604,1998,PG-13
858,The Pacifier,198636868,113086868,0.569,85550000,0.431,2005,PG
859,50 First Dates,198520934,120908074,0.609,77612860,0.391,2004,PG-13
860,Total Recall,198467168,58877969,0.297,139589199,0.703,2012,
861,The Island,198326350,670883,0.003,197655467,0.997,2018,
862,The Impossible,198087212,19019882,0.096,179067330,0.904,2012,PG-13
863,Lost in Thailand,197757387,57387,0.001,197700000,1.0,2012,
864,Christopher Robin,197744377,99215042,0.502,98529335,0.498,2018,PG
865,Jack the Giant Slayer,197687603,65187603,0.33,132500000,0.67,2013,PG-13
866,Ghostbusters: Afterlife,197360575,129360575,0.6559999999999999,68000000,0.344,2021,PG-13
867,Smurfs: The Lost Village,197183546,45020282,0.228,152163264,0.772,2017,PG
868,Chinese Doctors,197143218,,,197143218,1.0,2021,
869,Spy Kids 3: Game Over,197101678,111761982,0.5670000000000001,85339696,0.433,2003,PG
870,Panic Room,197079546,96397334,0.489,100682212,0.511,2002,R
871,The Other Woman,196710396,83911193,0.42700000000000005,112799203,0.573,2014,PG-13
872,Stargate,196567262,71567262,0.364,125000000,0.636,1994,PG-13
873,Beowulf,196393745,82280579,0.419,114113166,0.581,2007,PG-13
874,The Vow,196114570,125014030,0.638,71100540,0.36200000000000004,2012,PG-13
875,Anger Management,195745823,135645823,0.693,60100000,0.307,2003,PG-13
876,Tropic Thunder,195702963,110515313,0.565,85187650,0.435,2008,R
877,The Shape of Water,195333312,63859435,0.327,131473877,0.6729999999999999,2017,R
878,Rocketman,195320400,96368160,0.493,98952240,0.507,2019,R
879,The Pelican Brief,195268056,100768056,0.516,94500000,0.484,1993,PG-13
880,The BFG,195243411,55483770,0.284,139759641,0.716,2016,PG
881,The Intern,194564672,75764672,0.389,118800000,0.611,2015,PG-13
882,Wallace & Gromit: The Curse of the Were-Rabbit,194137091,56110897,0.289,138026194,0.711,2005,
883,Gnomeo & Juliet,193967670,99967670,0.515,94000000,0.485,2011,
884,Weathering with You,193932489,8056636,0.042,185875853,0.958,2019,PG-13
885,The Sum of All Fears,193921372,118907036,0.613,75014336,0.387,2002,PG-13
886,Gangs of New York,193772504,77812000,0.402,115960504,0.598,2002,R
887,The Monkey King 2,193678298,709982,0.004,192968316,0.996,2016,
888,Paranormal Activity,193355800,107918810,0.5579999999999999,85436990,0.442,2009,R
889,The Lego Movie 2: The Second Part,192456290,105956290,0.55,86500000,0.45,2019,PG
890,The Equalizer,192330738,101530738,0.528,90800000,0.47200000000000003,2014,R
891,Sheep Without a Shepherd,191602146,,,191602146,1.0,2019,
892,The Addams Family,191502426,113502426,0.593,78000000,0.40700000000000003,1991,PG
893,The Longest Yard,191466556,158119460,0.826,33347096,0.174,2005,PG-13
