RANK,TITLE,WORLDWIDE_LIFETIME_GROSS,DOMESTIC_LIFETIME_GROSS,DOMESTIC_PERCENTAGE,FOREIGN_LIFETIME_GROSS,FOREIGN_PERCENTAGE,YEAR,MPAA
260,Lucy,458863600,126663600,0.276,332200000,0.7240000000000001,2014,R
261,Mission: Impossible,457696391,180981856,0.395,276714535,0.605,1996,PG-13
262,300,456082343,210629101,0.462,245453242,0.5379999999999999,2007,R
263,Demon Slayer the Movie: Mugen Train,454779627,49505008,0.109,405274619,0.8909999999999999,2020,R
264,The Last Samurai,454627263,111127263,0.244,343500000,0.7559999999999999,2003,R
265,Dying to Survive,451183391,6752,,451176639,1.0,2018,
266,Ocean's Eleven,450717150,183417150,0.40700000000000003,267300000,0.593,2001,PG-13
267,"My People, My Country",450064993,2356683,0.005,447708310,0.995,2019,
268,Thor,449326618,181030624,0.40299999999999997,268295994,0.597,2011,PG-13
269,Pearl Harbor,449220945,198542554,0.442,250678391,0.5579999999999999,2001,PG-13
270,La La Land,448906865,151101803,0.337,297805062,0.6629999999999999,2016,PG-13
271,Tarzan,448191819,171091819,0.382,277100000,0.618,1999,G
272,Men in Black II,445135288,193735288,0.435,251400000,0.565,2002,PG-13
273,The Bourne Ultimatum,444100035,227471070,0.512,216628965,0.488,2007,PG-13
274,The Mummy Returns,443280904,202019785,0.456,241261119,0.544,2001,PG-13
275,Alvin and the Chipmunks: The Squeakquel,443140005,219614612,0.496,223525393,0.504,2009,PG
276,Les Misérables,442299309,148809770,0.336,293489539,0.664,2012,PG-13
277,The Exorcist,441306145,233005644,0.528,208300501,0.47200000000000003,1973,R
278,Mrs. Doubtfire,441286195,219195243,0.49700000000000005,222090952,0.503,1993,PG-13
279,Terminator Genisys,440603537,89760956,0.204,350842581,0.7959999999999999,2015,PG-13
280,Warcraft,439048914,47365290,0.10800000000000001,391683624,0.892,2016,PG-13
281,The Greatest Showman,436949634,174340174,0.39899999999999997,262609460,0.601,2017,PG
282,A Star Is Born,436233122,215333122,0.494,220900000,0.506,2018,R
283,Pokémon Detective Pikachu,433477601,144174568,0.33299999999999996,289303033,0.667,2019,PG
284,Terminator 3: Rise of the Machines,433371112,150371112,0.34700000000000003,283000000,0.653,2003,R
285,Shang-Chi and the Legend of the Ten Rings,432243292,224543292,0.52,207700000,0.48,2021,PG-13
286,Die Another Day,431971116,160942139,0.373,271028977,0.627,2002,PG-13
287,The Secret Life of Pets 2,430051293,158874395,0.369,271176898,0.631,2019,PG
288,Cast Away,429632142,233632142,0.544,196000000,0.456,2000,PG-13
289,Rampage,428028233,101028233,0.23600000000000002,327000000,0.764,2018,PG-13
290,The King's Speech,427374317,138797449,0.325,288576868,0.675,2010,R
291,The Matrix Revolutions,427344325,139313948,0.326,288030377,0.674,2003,R
292,The Intouchables,426588510,10198820,0.024,416389690,0.976,2011,R
293,Bad Boys for Life,426505244,206305244,0.484,220200000,0.516,2020,R
294,Django Unchained,426074373,162805434,0.382,263268939,0.618,2012,R
295,Beauty and the Beast,424967620,218967620,0.515,206000000,0.485,1991,PG
296,Dances with Wolves,424208848,184208848,0.434,240000000,0.5660000000000001,1990,
297,"My People, My Homeland",422390820,,,422390820,1.0,2020,
298,The Chronicles of Narnia: Prince Caspian,419665568,141621490,0.33799999999999997,278044078,0.662,2008,PG
299,Sex and the City,418765519,152647258,0.364,266118261,0.636,2008,R
300,The Captain,417282021,706572,0.002,416575449,0.998,2019,
